  Depth   SampleID      Ti        Ta        P1       P1sigma      P2       P2sigma      DA       DAsigma  
    3.525     7       -16.0     -15.9       1.8319     0.0003     1.7638     0.0000    0.06500    0.00101 
    3.530     7       -16.1     -16.4       1.8324     0.0008     1.7652     0.0009    0.06813    0.00029 
    3.535     7       -16.1     -16.6       1.8245     0.0010     1.7601     0.0011    0.06717    0.00025 
    3.540     7       -16.1     -16.7       1.8093     0.0009     1.7484     0.0012    0.06443    0.00015 
    3.545     7       -16.1     -16.8       1.7856     0.0003     1.7299     0.0012    0.06087    0.00051 
    3.550     7       -16.2     -17.0       1.7569     0.0011     1.7060     0.0004    0.05573    0.00091 
    3.555     7       -16.1     -17.1       1.7310     0.0018     1.7003     0.0218    0.05090    0.00072 
    3.560     7       -16.4     -17.4       1.7300     0.0008     1.6991     0.0215    0.04320    0.00354 
    3.565     7       -16.4     -17.2       1.7335     0.0023     1.6901     0.0035    0.04330    0.00339 
    3.570     7       -16.3     -16.9       1.7440     0.0011     1.7012     0.0041    0.04340    0.00118 
    3.575     7       -16.4     -16.8       1.7460     0.0011     1.7040     0.0011    0.04273    0.00301 
    3.580     7       -16.3     -16.6       1.7416     0.0014     1.6978     0.0014    0.04193    0.00058 
    3.585     7       -16.3     -16.4       1.7344     0.0013     1.6881     0.0020    0.04373    0.00021 
    3.590     7       -16.3     -16.4       1.7235     0.0002     1.6774     0.0028    0.04637    0.00081 
    3.595     7       -16.3     -16.3       1.7079     0.0036     1.6640     0.0077    0.04607    0.00290 
    3.620     7       -16.2     -15.8       1.6853     0.0005     1.6569     0.0054    0.03380 
    3.625     7       -16.3     -15.8       1.6995     0.0023     1.6640     0.0044    0.03130    0.00410 
    3.630     7       -16.2     -15.7       1.7106     0.0029     1.6738     0.0037    0.03550    0.00226 
    3.635     7       -16.5     -15.9       1.7139     0.0036     1.6755     0.0042    0.03677    0.00085 
    3.640     7       -16.2     -15.6       1.7149     0.0029     1.6772     0.0016    0.03833    0.00093 
    3.645     7       -16.0     -15.4       1.7149     0.0019     1.6803     0.0022    0.03770    0.00454 
    3.650     7       -15.9     -15.3       1.7245     0.0008     1.6869     0.0026    0.03460    0.00276 
