  Depth   SampleID      Ti        Ta        P1       P1sigma      P2       P2sigma      DA       DAsigma  
   12.930     33      -15.6     -15.7       1.9382     0.0005     1.8943     0.0006    0.04383    0.00083 
   12.935     33      -15.9     -16.0       1.9348     0.0019     1.8919     0.0012    0.04293    0.00104 
   12.940     33      -16.0     -16.2       1.9348     0.0020     1.8931     0.0022    0.04167    0.00122 
   12.945     33      -16.0     -16.2       1.9431     0.0030     1.9010     0.0037    0.04210    0.00087 
   12.950     33      -16.0     -16.3       1.9641     0.0025     1.9219     0.0018    0.04213    0.00104 
   12.955     33      -16.0     -16.3       1.9901     0.0014     1.9450     0.0014    0.04510    0.00026 
   12.960     33      -16.0     -16.4       2.0077     0.0025     1.9583     0.0018    0.04940    0.00066 
   12.965     33      -15.8     -16.1       2.0214     0.0014     1.9663     0.0010    0.05517    0.00045 
   12.970     33      -15.6     -16.0       2.0230     0.0013     1.9642     0.0008    0.05877    0.00051 
   12.975     33      -15.6     -16.0       2.0100     0.0030     1.9528     0.0021    0.05720    0.00085 
   12.980     33      -16.0     -16.4       1.9925     0.0013     1.9389     0.0014    0.05360    0.00078 
   12.985     33      -16.1     -16.5       1.9598     0.0036     1.9131     0.0023    0.04670    0.00131 
   12.990     33      -15.6     -16.0       1.9349     0.0050     1.8914     0.0032    0.04350    0.00276 
   12.995     33      -15.7     -16.0       1.9376     0.0005     1.8907     0.0030    0.04690    0.00270 
   13.000     33      -15.7     -16.0       1.9440     0.0007     1.8915     0.0010    0.05250    0.00082 
   13.005     33      -15.7     -16.0       1.9502     0.0009     1.8933     0.0003    0.05690    0.00062 
   13.010     33      -15.9     -16.2       1.9547     0.0017     1.8956     0.0013    0.05907    0.00040 
   13.015     33      -15.6     -15.8       1.9597     0.0015     1.9018     0.0014    0.05787    0.00055 
   13.020     33      -15.5     -15.7       1.9605     0.0013     1.9062     0.0014    0.05430    0.00052 
   13.025     33      -15.9     -16.1       1.9554     0.0022     1.9083     0.0020    0.04707    0.00065 
   13.030     33      -15.6     -15.7       1.9537     0.0002     1.9100     0.0016    0.04363    0.00142 
   13.035     33      -15.6     -15.7       1.9527     0.0007     1.9122     0.0009    0.04043    0.00025 
   13.040     33      -15.8     -15.9       1.9650     0.0011     1.9200     0.0008    0.04497    0.00189 
   13.045     33      -15.5     -15.5       1.9813     0.0005     1.9311     0.0009    0.05020    0.00072 
   13.050     33      -16.0     -16.0       1.9939     0.0003     1.9399     0.0008    0.05400    0.00052 
   13.055     33      -15.5     -15.5       1.9981     0.0001     1.9425     0.0002    0.05560    0.00017 
   13.060     33      -15.4     -15.4       1.9993     0.0011     1.9432     0.0004    0.05613    0.00091 
   13.065     33      -15.6     -15.6       1.9982     0.0020     1.9431     0.0013    0.05507    0.00071 
   13.070     33      -15.8     -15.8       1.9995     0.0006     1.9440     0.0001    0.05547    0.00065 
   13.075     33      -15.7     -15.7       2.0011     0.0009     1.9465     0.0004    0.05460    0.00053 
   13.080     33      -15.8     -15.9       2.0023     0.0007     1.9457     0.0006    0.05660    0.00026 
   13.085     33      -15.7     -15.9       2.0052     0.0013     1.9446     0.0007    0.06053    0.00057 
   13.090     33      -15.5     -15.8       2.0095     0.0019     1.9472     0.0011    0.06227    0.00086 
   13.095     33      -15.8     -16.1       2.0089     0.0044     1.9486     0.0027    0.06027    0.00178 
   13.100     33      -15.6     -15.9       2.0131     0.0013     1.9519     0.0010    0.06117    0.00029 
   13.105     33      -16.0     -16.3       2.0075     0.0012     1.9483     0.0011    0.05920    0.00017 
   13.110     33      -16.0     -16.4       2.0025     0.0011     1.9450     0.0009    0.05750    0.00026 
   13.115     33      -16.0     -16.4       2.0035     0.0015     1.9463     0.0010    0.05717    0.00051 
   13.120     33      -15.8     -16.2       2.0098     0.0020     1.9525     0.0016    0.05733    0.00047 
   13.125     33      -15.5     -16.0       2.0150     0.0026     1.9569     0.0019    0.05813    0.00070 
   13.130     33      -16.1     -16.5       2.0158     0.0009     1.9566     0.0012    0.05927    0.00031 
   13.135     33      -15.5     -15.9       2.0175     0.0005     1.9565     0.0005    0.06100    0.00046 
   13.140     33      -15.6     -16.0       2.0187     0.0005     1.9584     0.0001    0.06037    0.00035 
   13.145     33      -16.1     -16.5       2.0109     0.0002     1.9560     0.0001    0.05490    0.00026 
   13.150     33      -16.1     -16.5       1.9938     0.0006     1.9471     0.0002    0.04670    0.00072 
   13.155     33      -15.9     -16.2       1.9709     0.0008     1.9315     0.0002    0.03937    0.00102 
